,work_year,employment_type,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,job_title,experience_level,company_size
58,2024,FT,252000,USD,252000,US,0,US,ML Engineer,Middle,Medium
59,2024,FT,168000,USD,168000,US,0,US,ML Engineer,Middle,Medium
60,2024,FT,140000,USD,140000,US,100,US,Data Modeler,Senior,Medium
61,2024,FT,130000,USD,130000,US,100,US,Data Modeler,Senior,Medium
62,2024,FT,190000,USD,190000,US,0,US,Machine Learning Engineer,Senior,Medium
63,2024,FT,100000,USD,100000,US,0,US,Machine Learning Engineer,Senior,Medium
64,2024,FT,150650,USD,150650,US,0,US,Data Scientist,Middle,Medium
65,2024,FT,106700,USD,106700,US,0,US,Data Scientist,Middle,Medium
66,2024,FT,192300,USD,192300,US,0,US,Data Scientist,Senior,Medium
67,2024,FT,107900,USD,107900,US,0,US,Data Scientist,Senior,Medium
68,2024,FT,115000,USD,115000,US,100,US,Data Integration Specialist,Middle,Medium
69,2024,FT,95500,USD,95500,US,100,US,Data Integration Specialist,Middle,Medium
70,2024,FT,195000,USD,195000,US,100,US,Research Scientist,Middle,Medium
71,2024,FT,160000,USD,160000,US,100,US,Research Scientist,Middle,Medium
72,2024,FT,257600,USD,257600,US,0,US,Data Scientist,Senior,Medium
73,2024,FT,146000,USD,146000,US,0,US,Data Scientist,Senior,Medium
74,2024,FT,90000,USD,90000,CA,0,CA,Data Analyst,Entry,Medium
75,2024,FT,70000,USD,70000,CA,0,CA,Data Analyst,Entry,Medium
76,2024,FT,110000,EUR,122222,NL,100,NL,Machine Learning Engineer,Senior,Small
77,2024,FT,70000,EUR,77777,NL,100,NL,Machine Learning Engineer,Senior,Small
78,2024,FT,158200,USD,158200,US,0,US,Data Engineer,Senior,Medium
79,2024,FT,74100,USD,74100,US,0,US,Data Engineer,Senior,Medium
80,2024,FT,231400,USD,231400,US,0,US,Data Engineer,Senior,Medium
81,2024,FT,170955,USD,170955,US,0,US,Data Engineer,Senior,Medium
82,2024,FT,137000,USD,137000,US,0,US,Data Engineer,Middle,Medium
83,2024,FT,60300,USD,60300,US,0,US,Data Engineer,Middle,Medium
84,2024,FT,101098,USD,101098,US,0,US,Data Analyst,Middle,Medium
85,2024,FT,59469,USD,59469,US,0,US,Data Analyst,Middle,Medium
86,2024,FT,166363,USD,166363,US,0,US,Data Product Manager,Middle,Medium
87,2024,FT,103977,USD,103977,US,0,US,Data Product Manager,Middle,Medium
88,2024,FT,166000,USD,166000,US,0,US,Data Manager,Senior,Medium
89,2024,FT,104000,USD,104000,US,0,US,Data Manager,Senior,Medium
90,2024,FT,170400,USD,170400,US,0,US,Research Scientist,Senior,Medium
91,2024,FT,123800,USD,123800,US,0,US,Research Scientist,Senior,Medium
92,2024,FT,94763,USD,94763,US,100,US,Data Visualization Specialist,Middle,Medium
93,2024,FT,67750,USD,67750,US,100,US,Data Visualization Specialist,Middle,Medium
94,2024,FT,251250,USD,251250,US,0,US,Machine Learning Engineer,Senior,Medium
95,2024,FT,120750,USD,120750,US,0,US,Machine Learning Engineer,Senior,Medium
96,2024,FT,30000,EUR,33333,LT,0,LT,Data Analyst,Middle,Medium
97,2024,FT,25800,EUR,28666,LT,0,LT,Data Analyst,Middle,Medium
98,2024,FT,189615,USD,189615,US,0,US,Data Scientist,Senior,Medium
99,2024,FT,150385,USD,150385,US,0,US,Data Scientist,Senior,Medium
100,2024,FT,283800,USD,283800,US,0,US,Data Scientist,Senior,Medium
101,2024,FT,234700,USD,234700,US,0,US,Data Scientist,Senior,Medium
102,2024,FT,109000,USD,109000,US,100,US,Data Scientist,Middle,Medium
103,2024,FT,93000,USD,93000,US,100,US,Data Scientist,Middle,Medium
104,2024,FT,164000,USD,164000,US,0,US,Data Scientist,Middle,Medium
105,2024,FT,131000,USD,131000,US,0,US,Data Scientist,Middle,Medium
106,2024,FT,45607,GBP,57008,GB,0,GB,Data Specialist,Middle,Medium
107,2024,FT,30921,GBP,38651,GB,0,GB,Data Specialist,Middle,Medium
108,2024,FT,55000,GBP,68750,GB,100,GB,Data Analyst,Middle,Medium
109,2024,FT,45000,GBP,56250,GB,100,GB,Data Analyst,Middle,Medium
110,2024,FT,144300,USD,144300,US,0,US,Business Intelligence Lead,Senior,Medium
111,2024,FT,104800,USD,104800,US,0,US,Business Intelligence Lead,Senior,Medium
112,2024,FT,212750,USD,212750,US,0,US,Data Engineer,Senior,Medium
113,2024,FT,157250,USD,157250,US,0,US,Data Engineer,Senior,Medium
114,2024,FT,150000,USD,150000,US,100,US,Data Analyst,Entry,Medium
115,2024,FT,129200,USD,129200,US,100,US,Data Analyst,Entry,Medium
116,2024,FT,265000,USD,265000,US,0,US,Machine Learning Engineer,Senior,Medium
117,2024,FT,170000,USD,170000,US,0,US,Machine Learning Engineer,Senior,Medium
118,2024,FT,190000,USD,190000,US,100,US,Data Scientist,Senior,Medium
119,2024,FT,155000,USD,155000,US,100,US,Data Scientist,Senior,Medium
120,2024,FT,165000,USD,165000,US,100,US,Data Engineer,Senior,Medium
121,2024,FT,100000,USD,100000,US,100,US,Data Engineer,Senior,Medium
122,2024,FT,213900,USD,213900,US,100,US,Data Engineer,Middle,Medium
123,2024,FT,126500,USD,126500,US,100,US,Data Engineer,Middle,Medium
124,2024,FT,130000,USD,130000,US,0,US,Research Analyst,Senior,Medium
125,2024,FT,104000,USD,104000,US,0,US,Research Analyst,Senior,Medium
126,2024,FT,225000,USD,225000,US,100,US,Machine Learning Engineer,Senior,Medium
127,2024,FT,66000,USD,66000,US,100,US,Machine Learning Engineer,Senior,Medium
128,2024,FT,220000,USD,220000,US,0,US,ML Engineer,Senior,Medium
129,2024,FT,110000,USD,110000,US,0,US,Business Intelligence Analyst,Middle,Medium
130,2024,FT,85000,USD,85000,US,0,US,Business Intelligence Analyst,Middle,Medium
131,2024,FT,282000,USD,282000,US,100,US,Machine Learning Engineer,Senior,Medium
132,2024,FT,188000,USD,188000,US,100,US,Machine Learning Engineer,Senior,Medium
133,2024,FT,219650,USD,219650,US,100,US,Data Scientist,Expert,Medium
134,2024,FT,136000,USD,136000,US,100,US,Data Scientist,Expert,Medium
135,2024,FT,210850,USD,210850,US,0,US,Data Scientist,Senior,Medium
136,2024,FT,145400,USD,145400,US,0,US,Data Scientist,Senior,Medium
137,2024,FT,143800,USD,143800,US,100,US,Data Analyst,Middle,Medium
138,2024,FT,106300,USD,106300,US,100,US,Data Analyst,Middle,Medium
139,2024,FT,150000,USD,150000,US,100,US,AI Engineer,Middle,Medium
140,2024,FT,90200,USD,90200,US,100,US,AI Engineer,Middle,Medium
141,2024,FT,140000,USD,140000,US,0,US,Data Engineer,Middle,Medium
142,2024,FT,110000,USD,110000,US,0,US,Data Engineer,Middle,Medium
143,2024,FT,140000,USD,140000,US,100,US,Data Analyst,Senior,Medium
144,2024,FT,120000,USD,120000,US,100,US,Data Analyst,Senior,Medium
145,2024,PT,800000,DKK,117647,DK,0,DK,AI Software Engineer,Entry,Small
146,2024,PT,138000,USD,138000,US,0,US,Research Scientist,Middle,Medium
147,2024,PT,86000,USD,86000,US,0,US,Research Scientist,Middle,Medium
148,2024,FT,199700,USD,199700,US,0,US,Data Scientist,Middle,Medium
149,2024,FT,70800,USD,70800,US,0,US,Data Scientist,Middle,Medium
150,2024,FT,175000,USD,175000,US,0,US,Research Analyst,Senior,Medium
151,2024,FT,130000,USD,130000,US,0,US,Research Analyst,Senior,Medium
152,2024,FT,169847,USD,169847,US,100,US,Data Architect,Senior,Medium
153,2024,FT,131631,USD,131631,US,100,US,Data Architect,Senior,Medium
154,2024,FT,277000,USD,277000,US,0,US,Machine Learning Scientist,Senior,Medium
155,2024,FT,173000,USD,173000,US,0,US,Machine Learning Scientist,Senior,Medium
156,2024,FT,264500,USD,264500,US,100,US,Machine Learning Engineer,Senior,Medium
157,2024,FT,165600,USD,165600,US,100,US,Machine Learning Engineer,Senior,Medium
158,2024,FT,194000,USD,194000,US,100,US,Business Intelligence,Senior,Medium
159,2024,FT,168000,USD,168000,US,100,US,Business Intelligence,Senior,Medium
160,2024,FT,90000,USD,90000,US,0,US,Data Engineer,Middle,Medium
161,2024,FT,70000,USD,70000,US,0,US,Data Engineer,Middle,Medium
162,2024,FT,137000,USD,137000,US,0,US,Data Scientist,Entry,Medium
163,2024,FT,60400,USD,60400,US,0,US,Data Scientist,Entry,Medium
164,2024,FT,197689,USD,197689,US,0,US,Data Scientist,Expert,Medium
165,2024,FT,152311,USD,152311,US,0,US,Data Scientist,Expert,Medium
166,2024,FT,209500,USD,209500,US,0,US,Research Analyst,Expert,Medium
167,2024,FT,147500,USD,147500,US,0,US,Research Analyst,Expert,Medium
168,2024,FT,170000,USD,170000,US,100,US,Data Engineer,Senior,Medium
169,2024,FT,146000,USD,146000,US,100,US,Data Engineer,Senior,Medium
170,2024,FT,220600,USD,220600,US,0,US,Machine Learning Engineer,Senior,Medium
171,2024,FT,140100,USD,140100,US,0,US,Machine Learning Engineer,Senior,Medium
172,2024,FT,236872,USD,236872,US,0,US,AI Engineer,Senior,Medium
173,2024,FT,148045,USD,148045,US,0,US,AI Engineer,Senior,Medium
174,2024,FT,143896,USD,143896,US,0,US,Data Scientist,Middle,Medium
175,2024,FT,99208,USD,99208,US,0,US,Data Scientist,Middle,Medium
176,2024,FT,250000,USD,250000,US,0,US,Applied Scientist,Senior,Medium
177,2024,FT,160000,USD,160000,US,0,US,Applied Scientist,Senior,Medium
178,2024,FT,200000,USD,200000,US,0,US,ML Engineer,Senior,Medium
179,2024,FT,25000,USD,25000,US,0,US,ML Engineer,Senior,Medium
180,2024,FT,137500,USD,137500,US,0,US,Data Engineer,Senior,Medium
181,2024,FT,81500,USD,81500,US,0,US,Data Engineer,Senior,Medium
182,2024,FT,209700,USD,209700,US,0,US,Data Scientist,Expert,Medium
183,2024,FT,161300,USD,161300,US,0,US,Data Scientist,Expert,Medium
184,2024,FT,249000,USD,249000,US,0,US,Data Scientist,Senior,Medium
185,2024,FT,216000,USD,216000,US,0,US,Data Scientist,Senior,Medium
186,2024,FT,170040,USD,170040,US,0,US,Data Engineer,Senior,Medium
187,2024,FT,113360,USD,113360,US,0,US,Data Engineer,Senior,Medium
188,2024,FT,178250,USD,178250,US,0,US,Machine Learning Engineer,Middle,Medium
189,2024,FT,110500,USD,110500,US,0,US,Machine Learning Engineer,Middle,Medium
190,2024,FT,83300,USD,83300,US,0,US,Data Analyst,Entry,Medium
191,2024,FT,47500,USD,47500,US,0,US,Data Analyst,Entry,Medium
192,2024,FT,200000,USD,200000,US,100,US,Data Scientist,Senior,Medium
193,2024,FT,148500,USD,148500,US,100,US,Data Scientist,Senior,Medium
194,2024,FT,138000,USD,138000,US,0,US,Data Architect,Senior,Medium
195,2024,FT,120000,USD,120000,US,0,US,Data Architect,Senior,Medium
196,2024,FT,250000,USD,250000,US,0,US,Research Scientist,Senior,Medium
197,2024,FT,200000,USD,200000,US,0,US,Research Scientist,Senior,Medium
198,2024,FT,110000,USD,110000,US,100,US,Data Engineer,Senior,Medium
199,2024,FT,90000,USD,90000,US,100,US,Data Engineer,Senior,Medium
200,2024,FT,142000,USD,142000,US,100,US,Data Engineer,Middle,Medium
201,2024,FT,129500,USD,129500,US,100,US,Data Engineer,Middle,Medium
202,2024,FT,210554,USD,210554,US,0,US,Data Product Manager,Middle,Medium
203,2024,FT,131596,USD,131596,US,0,US,Data Product Manager,Middle,Medium
204,2024,FT,170000,USD,170000,US,0,US,Data Engineer,Senior,Medium
205,2024,FT,130000,USD,130000,US,0,US,Data Engineer,Senior,Medium
206,2024,FT,159550,USD,159550,US,0,US,Data Engineer,Senior,Medium
207,2024,FT,113000,USD,113000,US,0,US,Data Engineer,Senior,Medium
208,2024,FT,135000,USD,135000,US,0,US,Data Engineer,Middle,Medium
209,2024,FT,100000,USD,100000,US,0,US,Data Engineer,Middle,Medium
210,2024,FT,245400,USD,245400,US,0,US,Machine Learning Engineer,Middle,Medium
211,2024,FT,139000,USD,139000,US,0,US,Machine Learning Engineer,Middle,Medium
212,2024,FT,190000,USD,190000,US,0,US,Data Engineer,Senior,Medium
213,2024,FT,167000,USD,167000,US,0,US,Data Engineer,Senior,Medium
214,2024,FT,304000,USD,304000,US,0,US,Machine Learning Engineer,Senior,Medium
215,2024,FT,244000,USD,244000,US,0,US,Machine Learning Engineer,Senior,Medium
216,2024,FT,50000,GBP,62500,US,0,US,Data Analyst,Entry,Medium
217,2024,FT,44000,GBP,55000,US,0,US,Data Analyst,Entry,Medium
218,2024,FT,247600,USD,247600,US,0,US,Data Scientist,Senior,Large
219,2024,FT,127300,USD,127300,US,0,US,Data Scientist,Senior,Large
220,2024,FT,210000,USD,210000,US,0,US,Data Scientist,Senior,Medium
221,2024,FT,170000,USD,170000,US,0,US,Data Scientist,Senior,Medium
222,2024,FT,222200,USD,222200,US,0,US,Applied Scientist,Middle,Large
223,2024,FT,136000,USD,136000,US,0,US,Applied Scientist,Middle,Large
224,2024,FT,200000,USD,200000,US,100,US,Research Analyst,Middle,Medium
225,2024,FT,151300,USD,151300,US,100,US,Research Analyst,Middle,Medium
226,2024,FT,110000,USD,110000,US,100,US,Data Scientist,Middle,Medium
227,2024,FT,90000,USD,90000,US,100,US,Data Scientist,Middle,Medium
228,2024,FT,156000,USD,156000,US,0,US,Data Analyst,Entry,Medium
229,2024,FT,94000,USD,94000,US,0,US,Data Analyst,Entry,Medium
230,2024,FT,212800,USD,212800,US,0,US,Research Scientist,Middle,Large
231,2024,FT,124100,USD,124100,US,0,US,Research Scientist,Middle,Large
232,2024,FT,195000,USD,195000,US,0,US,Analytics Engineer,Middle,Medium
233,2024,FT,140000,USD,140000,US,0,US,Analytics Engineer,Middle,Medium
234,2024,FT,199068,USD,199068,US,0,US,Data Management Analyst,Senior,Medium
235,2024,FT,150000,USD,150000,US,0,US,Data Management Analyst,Senior,Medium
236,2024,FT,250900,USD,250900,US,0,US,Data Scientist,Expert,Medium
237,2024,FT,173100,USD,173100,US,0,US,Data Scientist,Expert,Medium
238,2024,FT,95000,USD,95000,US,0,US,Data Analyst,Middle,Medium
239,2024,FT,80000,USD,80000,US,0,US,Data Analyst,Middle,Medium
240,2024,FT,60000,EUR,66666,FR,0,FR,Data Scientist,Entry,Medium
241,2024,FT,40000,EUR,44444,FR,0,FR,Data Scientist,Entry,Medium
242,2024,FT,138000,USD,138000,US,0,US,Data Engineer,Senior,Medium
243,2024,FT,86000,USD,86000,US,0,US,Data Engineer,Senior,Medium
244,2024,FT,186754,USD,186754,US,0,US,AI Engineer,Senior,Medium
245,2024,FT,101000,USD,101000,US,0,US,AI Engineer,Senior,Medium
246,2024,FT,234000,USD,234000,US,0,US,Data Scientist,Senior,Medium
247,2024,FT,146000,USD,146000,US,0,US,Data Scientist,Senior,Medium
248,2024,FT,96200,USD,96200,US,100,US,Research Scientist,Middle,Medium
249,2024,FT,69800,USD,69800,US,100,US,Research Scientist,Middle,Medium
250,2024,FT,96200,USD,96200,US,100,US,Encounter Data Management Professional,Senior,Medium
251,2024,FT,69800,USD,69800,US,100,US,Encounter Data Management Professional,Senior,Medium
252,2024,FT,170000,USD,170000,US,0,US,Business Intelligence,Senior,Medium
253,2024,FT,150000,USD,150000,US,0,US,Business Intelligence,Senior,Medium
254,2024,FT,157500,USD,157500,US,0,US,Data Engineer,Middle,Medium
255,2024,FT,149900,USD,149900,US,0,US,Data Engineer,Middle,Medium
256,2024,FT,169000,USD,169000,US,0,US,Data Analyst,Senior,Medium
257,2024,FT,105000,USD,105000,US,0,US,Data Analyst,Senior,Medium
258,2024,FT,148017,USD,148017,US,100,US,Data Engineer,Senior,Medium
259,2024,FT,87069,USD,87069,US,100,US,Data Engineer,Senior,Medium
260,2024,FT,106336,USD,106336,CA,0,CA,Data Specialist,Middle,Medium
261,2024,FT,83150,USD,83150,CA,0,CA,Data Specialist,Middle,Medium
262,2024,FT,130000,USD,130000,US,100,US,Data Analytics Specialist,Middle,Medium
263,2024,FT,91000,USD,91000,US,100,US,Data Analytics Specialist,Middle,Medium
264,2024,FT,149925,USD,149925,US,0,US,Data Analyst,Senior,Medium
265,2024,FT,91260,USD,91260,US,0,US,Data Analyst,Senior,Medium
266,2024,FT,185000,USD,185000,US,0,US,ML Engineer,Senior,Medium
267,2024,FT,25000,USD,25000,US,0,US,ML Engineer,Senior,Medium
268,2024,FT,155000,USD,155000,US,100,US,Data Scientist,Senior,Medium
269,2024,FT,120000,USD,120000,US,100,US,Data Scientist,Senior,Medium
270,2024,FT,209700,USD,209700,US,0,US,ML Engineer,Senior,Medium
271,2024,FT,144600,USD,144600,US,0,US,ML Engineer,Senior,Medium
272,2024,FT,175000,USD,175000,US,0,US,Data Architect,Senior,Medium
273,2024,FT,117000,USD,117000,US,0,US,Data Architect,Senior,Medium
274,2024,FT,77280,USD,77280,US,0,US,Data Analyst,Middle,Medium
275,2024,FT,58000,USD,58000,US,0,US,Data Analyst,Middle,Medium
276,2024,FT,170200,USD,170200,US,100,US,Data Engineer,Senior,Medium
277,2024,FT,125800,USD,125800,US,100,US,Data Engineer,Senior,Medium
278,2024,FT,202730,USD,202730,US,100,US,Data Architect,Senior,Medium
279,2024,FT,92118,USD,92118,US,100,US,Data Architect,Senior,Medium
280,2024,FT,125000,USD,125000,US,100,US,Data Analyst,Middle,Medium
281,2024,FT,100000,USD,100000,US,100,US,Data Analyst,Middle,Medium
282,2024,FT,200000,USD,200000,US,100,US,Applied Scientist,Senior,Medium
283,2024,FT,160000,USD,160000,US,100,US,Applied Scientist,Senior,Medium
284,2024,FT,157144,USD,157144,US,0,US,Data Scientist,Middle,Medium
285,2024,FT,93101,USD,93101,US,0,US,Data Scientist,Middle,Medium
286,2024,FT,209000,CAD,160769,CA,0,CA,Data Scientist,Senior,Medium
287,2024,FT,150000,CAD,115384,CA,0,CA,Data Scientist,Senior,Medium
288,2024,FT,260000,USD,260000,US,0,US,Applied Scientist,Senior,Large
289,2024,FT,136000,USD,136000,US,0,US,Applied Scientist,Senior,Large
290,2024,FT,189000,USD,189000,US,0,US,Machine Learning Engineer,Senior,Medium
291,2024,FT,145400,USD,145400,US,0,US,Machine Learning Engineer,Senior,Medium
292,2024,FT,200070,USD,200070,CA,0,CA,Data Architect,Senior,Medium
293,2024,FT,107730,USD,107730,CA,0,CA,Data Architect,Senior,Medium
294,2024,FT,154000,USD,154000,US,0,US,Data Engineer,Senior,Medium
295,2024,FT,103000,USD,103000,US,0,US,Data Engineer,Senior,Medium
296,2024,FT,223000,USD,223000,US,0,US,Head of Data,Expert,Medium
297,2024,FT,205000,USD,205000,US,0,US,Head of Data,Expert,Medium
298,2024,FT,209000,USD,209000,US,0,US,Data Analyst,Senior,Medium
299,2024,FT,120000,USD,120000,US,0,US,Data Analyst,Senior,Medium
300,2024,FT,200000,USD,200000,CA,0,CA,Machine Learning Engineer,Middle,Medium
301,2024,FT,160000,USD,160000,CA,0,CA,Machine Learning Engineer,Middle,Medium
302,2024,FT,110000,USD,110000,US,100,US,Data Scientist,Middle,Medium
303,2024,FT,90000,USD,90000,US,100,US,Data Scientist,Middle,Medium
304,2024,FT,252000,USD,252000,US,0,US,Data Scientist,Senior,Medium
305,2024,FT,168000,USD,168000,US,0,US,Data Scientist,Senior,Medium
306,2024,FT,222200,USD,222200,US,0,US,Applied Scientist,Middle,Large
307,2024,FT,136000,USD,136000,US,0,US,Applied Scientist,Middle,Large
308,2024,FT,250000,USD,250000,US,100,US,Data Analytics Lead,Senior,Medium
309,2024,FT,385000,USD,385000,US,100,US,Data Scientist,Senior,Medium
310,2024,FT,130000,USD,130000,US,100,US,Data Scientist,Senior,Medium
311,2024,FT,150000,USD,150000,US,0,US,Data Scientist,Middle,Medium
312,2024,FT,127500,USD,127500,US,0,US,Data Scientist,Middle,Medium
313,2024,FT,142136,USD,142136,US,0,US,Business Intelligence Analyst,Entry,Medium
314,2024,FT,123596,USD,123596,US,0,US,Business Intelligence Analyst,Entry,Medium
315,2024,FT,285200,USD,285200,US,100,US,Data Scientist,Middle,Medium
316,2024,FT,168600,USD,168600,US,100,US,Data Scientist,Middle,Medium
317,2024,FT,223500,USD,223500,US,0,US,Data Scientist,Senior,Medium
318,2024,FT,109100,USD,109100,US,0,US,Data Scientist,Senior,Medium
319,2024,FT,64500,USD,64500,US,0,US,Data Analyst,Entry,Medium
320,2024,FT,46500,USD,46500,US,0,US,Data Analyst,Entry,Medium
321,2024,FT,180500,USD,180500,US,0,US,Data Engineer,Senior,Medium
322,2024,FT,96200,USD,96200,US,0,US,Data Engineer,Senior,Medium
323,2024,FT,86940,USD,86940,US,0,US,Data Analyst,Middle,Medium
324,2024,FT,66000,USD,66000,US,0,US,Data Analyst,Middle,Medium
325,2024,FT,77280,USD,77280,US,0,US,Data Analyst,Middle,Medium
326,2024,FT,58000,USD,58000,US,0,US,Data Analyst,Middle,Medium
327,2024,FT,41418,GBP,51772,GB,0,GB,Data Specialist,Senior,Medium
328,2024,FT,38223,GBP,47778,GB,0,GB,Data Specialist,Senior,Medium
329,2024,FT,166000,USD,166000,US,0,US,Data Manager,Senior,Medium
330,2024,FT,104000,USD,104000,US,0,US,Data Manager,Senior,Medium
331,2024,FT,97000,USD,97000,US,0,US,Data Analyst,Entry,Medium
332,2024,FT,62000,USD,62000,US,0,US,Data Analyst,Entry,Medium
333,2024,FT,176000,USD,176000,US,0,US,Machine Learning Scientist,Middle,Medium
334,2024,FT,72700,USD,72700,US,0,US,Machine Learning Scientist,Middle,Medium
335,2024,FT,33966,GBP,42457,ZA,0,ZA,Data Scientist,Middle,Medium
336,2024,FT,31396,GBP,39245,ZA,0,ZA,Data Scientist,Middle,Medium
337,2024,FT,170500,USD,170500,US,100,US,Research Scientist,Entry,Medium
338,2024,FT,123200,USD,123200,US,100,US,Research Scientist,Entry,Medium
339,2024,FT,296400,USD,296400,US,0,US,Machine Learning Engineer,Senior,Medium
340,2024,FT,159600,USD,159600,US,0,US,Machine Learning Engineer,Senior,Medium
341,2024,FT,158200,USD,158200,US,0,US,Applied Scientist,Senior,Medium
342,2024,FT,79000,USD,79000,US,0,US,Applied Scientist,Senior,Medium
343,2024,FT,153000,USD,153000,NZ,0,NZ,Data Scientist,Senior,Medium
344,2024,FT,135000,USD,135000,NZ,0,NZ,Data Scientist,Senior,Medium
345,2024,FT,145000,USD,145000,US,0,US,Data Scientist,Middle,Medium
346,2024,FT,125000,USD,125000,US,0,US,Data Scientist,Middle,Medium
347,2024,FT,230000,USD,230000,US,100,US,Head of Data,Expert,Medium
348,2024,FT,200000,USD,200000,US,100,US,Head of Data,Expert,Medium
349,2024,FT,278000,USD,278000,US,0,US,Machine Learning Engineer,Senior,Medium
350,2024,FT,196000,USD,196000,US,0,US,Machine Learning Engineer,Senior,Medium
351,2024,FT,140000,USD,140000,US,100,US,Data Engineer,Senior,Medium
352,2024,FT,100000,USD,100000,US,100,US,Data Engineer,Senior,Medium
353,2024,FT,45000,USD,45000,AR,100,AR,Data Scientist,Middle,Medium
354,2024,FT,30000,USD,30000,AR,100,AR,Data Scientist,Middle,Medium
355,2024,FT,218000,USD,218000,US,0,US,Data Scientist,Senior,Medium
